ID	Day	Empty	Multiple	Dead.Stain..intensity.	Total.Reads	Uniquely Aligned
d0_Col_07_Row_7	0	FALSE	FALSE	66.951	340803	167827
d0_Col_07_Row_8	0	FALSE	FALSE	66.728	533448	256620
d0_Col_07_Row_9	0	FALSE	FALSE	66.956	441883	218709
d0_Col_07_Row_10	0	FALSE	TRUE	66.833	944362	467072
d0_Col_07_Row_11	0	FALSE	FALSE	66.891	549206	271062
d0_Col_07_Row_12	0	FALSE	FALSE	67.257	433342	202100
d0_Col_07_Row_13	0	FALSE	FALSE	66.573	541457	279421
d0_Col_07_Row_14	0	FALSE	FALSE	66.345	450173	210843
d0_Col_07_Row_15	0	FALSE	FALSE	66.363	457007	214609
d0_Col_07_Row_16	0	FALSE	FALSE	66.525	523948	245445
d0_Col_07_Row_17	0	FALSE	FALSE	66.48	530285	260403
d0_Col_07_Row_18	0	FALSE	FALSE	66.495	483706	244598
d0_Col_07_Row_19	0	FALSE	FALSE	66.604	535107	267219
d0_Col_07_Row_20	0	FALSE	FALSE	66.992	341813	154833
d0_Col_07_Row_21	0	FALSE	FALSE	66.703	577003	292616
d0_Col_07_Row_22	0	FALSE	FALSE	66.919	471538	234208
d0_Col_07_Row_23	0	FALSE	FALSE	66.783	621030	314898
d0_Col_07_Row_24	0	FALSE	FALSE	66.392	500780	243284
d0_Col_07_Row_25	0	FALSE	FALSE	66.121	446213	218393
d0_Col_07_Row_26	0	FALSE	FALSE	66.832	625873	293394
d0_Col_07_Row_27	0	FALSE	FALSE	328.307	66287	28139
d0_Col_07_Row_28	0	FALSE	FALSE	66.706	647898	312617
d0_Col_07_Row_29	0	FALSE	FALSE	66.534	309753	158227
d0_Col_07_Row_30	0	FALSE	FALSE	66.79	441541	216250
d0_Col_07_Row_31	0	FALSE	FALSE	66.857	481672	234392
d0_Col_07_Row_32	0	FALSE	FALSE	66.632	469140	217480
d0_Col_07_Row_33	0	FALSE	FALSE	66.443	549766	264044
d0_Col_07_Row_34	0	FALSE	FALSE	66.437	389658	189159
d0_Col_07_Row_35	0	FALSE	FALSE	66.616	459798	219010
d0_Col_07_Row_36	0	FALSE	FALSE	71.909	787434	388441
d0_Col_07_Row_37	0	FALSE	FALSE	66.636	593403	290414
d0_Col_07_Row_38	0	FALSE	FALSE	66.798	590864	284894
d0_Col_07_Row_39	0	FALSE	FALSE	72.986	68184	24121
d0_Col_07_Row_40	0	FALSE	FALSE	77.665	50870	16944
d0_Col_08_Row_1	0	FALSE	FALSE	84.337	59080	21400
d0_Col_08_Row_2	0	FALSE	FALSE	66.887	724020	354522
d0_Col_08_Row_3	0	FALSE	FALSE	67.283	80427	35723
d0_Col_08_Row_4	0	FALSE	FALSE	66.794	830562	418879
d0_Col_08_Row_5	0	FALSE	FALSE	371.111	45018	20367
d0_Col_08_Row_6	0	FALSE	FALSE	67.045	533282	253875
d0_Col_08_Row_7	0	FALSE	FALSE	66.807	603483	304933
d0_Col_08_Row_8	0	TRUE	FALSE	65.969	63867	30140
d0_Col_08_Row_9	0	FALSE	FALSE	66.554	882220	425918
d0_Col_08_Row_10	0	TRUE	FALSE	67.403	89160	40808
d0_Col_08_Row_11	0	FALSE	FALSE	66.803	730371	345352
d0_Col_08_Row_12	0	FALSE	FALSE	66.449	851568	433300
d0_Col_08_Row_13	0	FALSE	FALSE	67.724	611567	294810
d0_Col_08_Row_14	0	FALSE	FALSE	67.044	1016315	510094
d0_Col_08_Row_15	0	FALSE	FALSE	65.566	134024	62903
d0_Col_08_Row_16	0	FALSE	FALSE	66.621	683633	330250
d0_Col_08_Row_17	0	FALSE	FALSE	74.411	112147	51921
d0_Col_08_Row_18	0	FALSE	FALSE	66.853	727652	357798
d0_Col_08_Row_19	0	FALSE	FALSE	143.04	136416	68386
d0_Col_08_Row_20	0	FALSE	FALSE	66.813	963808	465104
d0_Col_08_Row_21	0	FALSE	FALSE	109.591	128186	52900
d0_Col_08_Row_22	0	FALSE	FALSE	66.831	705115	350350
d0_Col_08_Row_23	0	FALSE	FALSE	67.185	642691	300811
d0_Col_08_Row_24	0	TRUE	FALSE	65.392	60999	27699
d0_Col_08_Row_25	0	FALSE	FALSE	66.668	896730	461138
d0_Col_08_Row_26	0	FALSE	FALSE	66.741	406441	194425
d0_Col_08_Row_27	0	FALSE	FALSE	474.285	42714	18604
d0_Col_08_Row_28	0	FALSE	FALSE	66.731	363631	186618
d0_Col_08_Row_29	0	FALSE	FALSE	66.422	508315	249665
d0_Col_08_Row_30	0	FALSE	FALSE	66.27	523026	268428
d0_Col_08_Row_31	0	FALSE	FALSE	427.354	83633	39810
d0_Col_08_Row_32	0	FALSE	FALSE	66.687	742458	369198
d0_Col_08_Row_33	0	FALSE	FALSE	66.582	838410	396819
d0_Col_08_Row_34	0	FALSE	FALSE	319.798	521964	239497
d0_Col_08_Row_35	0	FALSE	FALSE	68.602	57522	22759
d0_Col_08_Row_36	0	FALSE	FALSE	67.734	641790	323617
d0_Col_08_Row_37	0	FALSE	FALSE	66.804	952552	498680
d0_Col_08_Row_38	0	FALSE	FALSE	66.439	665673	340508
d0_Col_08_Row_39	0	FALSE	FALSE	66.419	649636	336068
d0_Col_08_Row_40	0	FALSE	FALSE	66.584	546026	270195
d0_Col_09_Row_1	0	FALSE	FALSE	66.886	187252	106623
d0_Col_09_Row_2	0	FALSE	FALSE	66.986	180068	99749
d0_Col_09_Row_3	0	FALSE	FALSE	66.535	469094	227754
d0_Col_09_Row_4	0	FALSE	FALSE	67.33	541748	255246
d0_Col_09_Row_5	0	FALSE	FALSE	66.414	390424	198655
d0_Col_09_Row_6	0	FALSE	FALSE	67	52225	23573
d0_Col_09_Row_7	0	FALSE	FALSE	67.039	287733	136451
d0_Col_09_Row_8	0	FALSE	FALSE	67.121	632890	310825
d0_Col_09_Row_9	0	FALSE	FALSE	69.289	450012	221203
d0_Col_09_Row_10	0	FALSE	FALSE	66.467	640620	312829
d0_Col_09_Row_11	0	FALSE	FALSE	67.091	468441	227059
d0_Col_09_Row_12	0	FALSE	FALSE	66.529	537819	262612
d0_Col_09_Row_13	0	FALSE	FALSE	66.789	359795	175416
d0_Col_09_Row_14	0	FALSE	FALSE	66.845	348890	172754
d0_Col_09_Row_15	0	FALSE	FALSE	66.67	575279	274574
d0_Col_09_Row_16	0	FALSE	FALSE	66.739	689796	355920
d0_Col_09_Row_17	0	FALSE	FALSE	66.381	410640	206291
d0_Col_09_Row_18	0	FALSE	FALSE	66.618	544741	270249
d0_Col_09_Row_19	0	FALSE	FALSE	69.07	435234	218263
d0_Col_09_Row_20	0	FALSE	FALSE	66.819	405699	196447
d0_Col_09_Row_21	0	FALSE	FALSE	66.637	466369	227502
d0_Col_09_Row_22	0	FALSE	FALSE	66.672	432990	223644
d0_Col_09_Row_23	0	FALSE	FALSE	66.643	598832	300934
d0_Col_09_Row_24	0	FALSE	FALSE	489.708	46069	21124
d0_Col_09_Row_25	0	FALSE	TRUE	66.614	567111	277963
d0_Col_09_Row_26	0	FALSE	FALSE	66.595	388178	197873
d0_Col_09_Row_27	0	FALSE	FALSE	66.802	432502	221049
d0_Col_09_Row_28	0	FALSE	FALSE	66.189	275578	137647
d0_Col_09_Row_29	0	FALSE	FALSE	66.646	464622	232139
d0_Col_09_Row_30	0	FALSE	FALSE	438.174	110150	53622
d0_Col_09_Row_31	0	FALSE	FALSE	66.686	218004	108094
